epoch,accuracy,loss,val_accuracy,val_loss
0,0.36783835,1.3301955974897188,0.47262248396873474,1.2732814464514124
1,0.65873235,0.9759720280795358,0.6628242135047913,0.9166777757471508
2,0.7924163,0.5733173957763206,0.7146974205970764,0.7830694575474654
3,0.8497094,0.41904748169101574,0.7031700015068054,0.7848571885903218
4,0.8837531,0.33152174844888316,0.6916426420211792,0.8135837402398717
5,0.90755606,0.27037741937961995,0.7031700015068054,0.8472939300262275
6,0.9233324,0.2238781563081868,0.6974063515663147,0.9173895185893826
7,0.9374481,0.18862824362630234,0.6743515729904175,1.00752599953918
8,0.9515638,0.1607039867800555,0.6858789920806885,1.0237185948176755
9,0.9570994,0.1420701169510677,0.6945244669914246,1.056588325789064
10,0.961251,0.1228555030574305,0.6974063515663147,1.0641824192547318
11,0.9648492,0.11310559148244702,0.6714697480201721,1.1530449648068344
12,0.9667866,0.10754376586754501,0.6714697480201721,1.2367006629619544
13,0.96706337,0.09745040906703013,0.6916426420211792,1.2324090804421592
14,0.97093827,0.09337318125455425,0.680115282535553,1.260288793346724
15,0.97121507,0.08600182920372654,0.680115282535553,1.3152014714496623
16,0.97370607,0.08124513347954622,0.6887608170509338,1.3560337951616184
17,0.9739828,0.08053560655279492,0.6916426420211792,1.362541925666655
18,0.97508997,0.07421669421715978,0.6772334575653076,1.4208047592674278
19,0.9742596,0.07431795883721677,0.680115282535553,1.4483546145711235
20,0.97758096,0.0689701921485185,0.6570605039596558,1.467791195218089
21,0.9756435,0.07154749234178878,0.680115282535553,1.484522285310267
22,0.9778577,0.0627246067812576,0.6916426420211792,1.4703806745215864
23,0.9778577,0.06146104532143695,0.6945244669914246,1.5073616535588026
24,0.9784113,0.06151571475359135,0.680115282535553,1.5436404874757663
